review,rating,clean_review,sentiment
"ga bisa menambakan yiket yg dari travrloka, gimana nih",4,ga tambak yiket yg travrloka gimana nih,positive
mantab,5,mantab,positive
"Awalnya saya beri bintang 5 sekarang saya turunkan, sering eror di saat pembayaran,pembayaran tiket ka lokal lebih banyak dong pemilihan pembayarannya, jangan cuma link aja,ovo dan qris. sudah dibayar tapi kode tiket belum aktif dan akhirnya gagal,uang hangus dan pembatalan menunggu sampai 2 minggu juga tidak masuk ke saldo. Ayo perbaiki sistemnya perbanyak pilihan pembayaran di tiket ka lokal. Jangan sering eror. Thnks",4,awal beri bintang sekarang turun sering eror saat pembayaranpembayaran tiket ka lokal lebih banyak dong pilih bayar jangan cuma link ajaovo qris bayar kode tiket aktif akhir gagaluang hangus batal tunggu minggu tidak masuk saldo ayo baik sistem banyak pilih bayar tiket ka lokal jangan sering eror thnks,positive
"kenapa gak bisa login woi, ngeliat jadwal aja gak bisa kenapa Access ini dah lah. hayolah kenapa ini.....",1,gak login woi ngeliat jadwal aja gak access dah lah hayo kenapa ini,negative
"kenapa ya beli tiket udah ada transaksi nya di dana , tapi pas di cek di Kai access gaada tiketnya dan di cek gaada riwayat transaksi nya juga",2,ya beli tiket udah transaksi nya dana pas cek kai access gaada tiket di cek gaada riwayat transaksi nya,negative
lemottty,1,lemottty,negative
"kalau mau scrol tanggal dibawah 25 gak bisa, susah. jd gak pernah beli tiket diatas tgl 25",3,kalau mau scrol tanggal bawah gak susah jd gak pernah beli tiket atas tgl,neutral
aplikasi lelet,1,aplikasi lelet,negative
"server sering eror, tapi pas ditinggal bentar dan kembali lagi saat sudah tidak eror tiket sudah habis, sudah email ke alamat pengaduan tapi tidak direspon",2,server sering eror pas tinggal bentar kembali saat tidak eror tiket habis email alamat adu tidak direspon,negative
"Jujur, kecewa banget udh beberapa kali pemesanan tiket ga muncul trs saldo jadi berkurang refund ga ada. Nanya ke cs malah suruh nunggu 1 jam terus wkwk",1,jujur kecewa banget udh beberapa kali mesan tiket ga muncul trs saldo jadi kurang refund ga nanya cs malah suruh nunggu jam terus wkwk,negative
lebih cepat prlayanannya,5,lebih cepat prlayanannya,positive
"Kenapa pesen tiket gk bisa terus ya, udh tinggal pembayaran malah eror, knp eror terus sii padahal sinyal bagus, tolong lebih ditingkatkan lagi dong biar oesen tiket lebih mudah.",1,sen tiket gk terus udh tinggal bayar malah eror knp eror terus sii padahal sinyal bagus lebih tingkat dong biar oesen tiket lebih mudah,negative
mantap lah,5,mantap lah,positive
"eror terus, giliran d chat d WA responya lama banget.",1,eror terus gilir d chat d wa responya lama banget,negative
"kurang bngt ni app, qris ga muncul diliat dri proses menunggu pembayaran jga gaada nunggu waktu hbs. Ngebugg nya parahhh",2,kurang bngt ni app qris ga muncul liat dri proses tunggu bayar jga gaada nunggu waktu hbs ngebugg nya parahhh,negative
sangat membantu untuk perjalanan,5,sangat bantu jalan,positive
Bagus Bagus,5,bagus bagus,positive
Baik,5,baik,positive
mantap,5,mantap,positive
tolong banget di benerin aplikasinya kayak tahun 2025 atau sebelum lebaran 2026 🙏🙏🙏🙏,1,banget benerin aplikasi kayak tahun belum lebaran,negative
memuaskan.,5,muas,positive
bagus,5,bagus,positive
"gjls gbisa daftar trs udh ada ketentuannya maksimal pesan satu sampe acara saya harus diundur trs sampe sore, dr jam 11 sampe jam set 2 gbisa udh ganti kereta gt trs cs jg g membantu disuruh nunggu trs",1,gjls gbisa daftar trs udh tentu maksimal pesan satu sampe acara harus undur trs sampe sore dr jam sampe jam set gbisa udh ganti kereta gt trs cs jg g bantu suruh nunggu trs,negative
saya mengalami erorr saat pembayaran.saldo berkurang namun tiket di aplikasi belum terbayar. padhal masih ada waktu masa pembayaran. namun hal yang bikin jengkel lagi pelayanannya cs yang lambat dan tidak gerak cepat. mohon ditingkatkan lagi. terimakasih,1,alami erorr pembayaransaldo kurang tiket aplikasi bayar padhal ada waktu masa bayar hal bikin jengkel layan cs lambat tidak gerak cepat mohon tingkat terimakasih,negative
"aplikasi nya skrg malah amburadul gk kyk 2-3 thn yg lalu pesen tiket lbh mudah gak lelet kyk skrg, tampilan nya aja keren dalem nya busuk...... mau pesen tiket buat seminggu ke dpn sm kluarga udah dibelain utak utek dr jam 00.01 biar bs dpt tiket hasil nya nihil server lemot skrg skali online hrs order.... lha kita kan hrs dftar penumpang nya dl klo blm didaftarin ktika udh tinggal order malah ada warning ""cannot booking more than one at same schedule route""pdhl dulu gk kyk gini,jd btl pergi",1,aplikasi nya skrg malah amburadul gk kyk thn yg lalu sen tiket lbh mudah gak lelet kyk skrg tampil nya aja keren dalem nya busuk mau sen tiket buat minggu dpn sm kluarga udah bain utak utek dr jam biar bs dpt tiket hasil nya nihil server lot skrg skali online hrs order lha kan hrs dftar tumpang nya dl klo blm didaftarin ktika udh tinggal order malah warning cannot booking more than one at same schedule routepdhl dulu gk kyk ginijd btl pergi,negative
"mohon bantuan perbaikan dalam server karena benar"" tidak sejalan, sudah pesan dengan menunggu waktu open persis tengah malam sudah mau bayar malah sistem dalam aplikasi down parah sehingga tiket hilang, kejadian lagi serupa sudah bayar pakai ovo malah tiket dalam aplikasi tidak terbayar ovo tetap terpotong.",1,mohon bantu baik server benar jalan pesan tunggu waktu open persis tengah malam mau bayar malah sistem aplikasi down parah tiket hilang jadi rupa bayar pakai ovo malah tiket aplikasi bayar ovo tetap potong,negative
"mau bayar tiket yg tertunda pembayarannya aja ribet banget,di cancel mau pesen ulang malah ga bisa🤦‍♂️",4,mau bayar tiket yg tunda bayar aja ribet bangetdi cancel mau sen ulang malah ga bisa,positive
pembayaran pake Qris dana. beli tiket gagal saldo kepotong . Cs kai dan cs commer di hubungi gak bisa . akhirnya lapor dana nunggu 18hr kerja,1,bayar pake qris dana beli tiket gagal saldo potong cs kai cs commer hubung gak akhir lapor dana nunggu hr kerja,negative
"server busuk, masa udah gue bayar tapi tiket nya gak muncul sama sekali, malah di kata error lah, mau dibatalin juga gabisa, tolong perbaiki secepatnya, soalnya sebagai pengguna kai sejati merasa dkrugikan",1,server busuk masa udah gue bayar tiket nya gak muncul sama sekali malah kata error lah mau dibatalin gabisa baik cepat soal guna kai sejati rasa dkrugikan,negative
"DUIT DI AMBIL TIKET GAADA, LAPOR CS SUSAH, GIMANA NIH? MAU TANGGUNGJAWAB KEMANA?",1,duit ambil tiket gaada lapor cs susah gimana nih mau tanggungjawab,negative
"kenapa sudah bayar tapi tiket gak muncul? ini bagaimana ya? mana udah 2kali penipuan kah aplikasi ini.... udah 2kali dana gak balik, kenapa? tolong jelas kan? biar gak ada salah paham ini mana dana gak balik",1,sudah bayar tiket gak muncul bagaimana mana udah kali tipu aplikasi udah kali dana gak balik tolong jelas kan biar gak salah paham mana dana gak balik,negative
saya udh melakukan pembayaran tetapi tiket tidak muncul dalam aplikasi gimana coba ceritanya tolong di perbaiki saya 2x pembayaran tidak muncul tiket,3,udh laku bayar tiket muncul aplikasi gimana coba cerita di baik x bayar muncul tiket,neutral
sistem sedang error mohon diperbaiki. gak bisa book kereta,4,sistem sedang error mohon baik gak book kereta,positive
"apk nya kurang baguss, pas mau payment gabisaa trs pas waktu mau booking ulang jg gabisaa",3,apk nya kurang baguss pas mau payment gabisaa trs pas waktu mau booking ulang jg gabisaa,neutral
"apaan ini KAI awalnya ku kasih bintang 5 sekarang bintang satu mengecewakan, habis update barusan aku pesen tiket di sesi pembayaran tiba² eror keluar ke home sendiri tak cari tiket di menu tiket buat mastiin pembayaran ulang malah tiket nya ga ada, mau pesen ulang tikenya malah ada notif bahwa udah pesen/boking tiket di jam kereta itu hadeh mana lagi ada kerjaan buru² pula,udah ganti ganti identitas buat bisa kebeli tiket tetep sama tiba² eror, chat dan telfon layanan 121 juga ga ada respon",1,apa kai awal ku kasih bintang sekarang bintang satu kecewa habis update barusan aku sen tiket sesi bayar tiba eror keluar home sendiri tak cari tiket menu tiket buat mastiin bayar ulang malah tiket nya ga mau sen ulang tike malah notif udah pesenboking tiket jam kereta hadeh mana kerja buru pulaudah ganti ganti identitas buat kebel tiket tetep sama tiba eror chat telfon layan ga ada respon,negative
terdapat bug yang mengecewakan ketika saya pesan kursi di hari dan jam yg sebelumnya sudah saya booking namun saat pembayaran tidak muncul halaman pembayaran. ketika saya pesan ulang malah tidak bisa dikarenakan sudah booking di hari dan jam yg sama ini bagaimana? masa harus booking di jam berbeda? saya ada perlu sehingga pesan di jam tersebut. sangat mengecewakan,1,dapat bug kecewa pesan kursi hari jam yg belum saya booking saat bayar muncul halaman bayar saya pesan ulang malah bisa karena booking hari jam yg sama bagaimana masa booking jam beda saya ada perlu pesan jam sebut sangat kecewa,negative
"GMNA SIH PEMBAYARAN PKE QRIS AJA GK BISA, PEMBAYARAN GAGAL GK ADA PENGEMBALIAN DANA, DUIT HANGUS GITU AJA. YG BENER DONG KAI KLO BIKIN APK",1,gmna sih bayar pke qris aja gk bayar gagal gk kembali dana duit hangus gitu aja yg bener dong kai klo bikin apk,negative
"habis maintenance malah gajelas semua, pesan tiket error terus, katanya sudah ada tiket dengan tujuan yang sama padal belum beli, sampe tiket habis baru bisa lagi",1,habis maintenance malah gajelas semua pesan tiket error terus kata ada tiket tuju sama padal beli sampe tiket habis baru lagi,negative
aplikasi bumn paling waras tapi sekarang udah tertular. sama-sama bloon,1,aplikasi bumn paling waras sekarang udah tular samasama bloon,negative
"nge bug mulu perasaan, sering banget bikin pusing.",2,nge bug mulu asa sering banget bikin pusing,negative
"GAJELAS SERING ERROR, SERING TIMEOUT, SERING MUNCUL CANNOT BOOKING AT THE SAME TIME, PADAHAL CUMA LIHAT TOK",1,gajelas sering error sering timeout sering muncul cannot booking at the same time padahal cuma lihat tok,negative
kenapa syaa tidak bisa download access kai ini ya apa sebabnya,1,syaa bisa download access kai ya apa sebab,negative
aneh banget pembayaran udah berhasil saldo dah berkurang tapi di apk nya pembayaran gagal. dan gitu cs nya lama bgt tanggapannya ngantri mulu. kecewa banget padahal dah beberapa kali beli disini aman. buat kali ini kecewa,1,aneh banget bayar udah hasil saldo dah kurang di apk nya bayar gagal gitu cs nya lama bgt tanggap ngantri mulu kecewa banget padahal dah beberapa kali beli sini aman buat kali kecewa,negative
"udah payment tiket nya gak di kasih, masih aja harus pembayaran, coba di benerin dong.",3,udah payment tiket nya gak kasih aja bayar coba benerin dong,neutral
"sewaktu saya mau buat akun basic, loadingnya lama banget. Tolong diperbaiki agar lebih cepat",3,waktu mau buat akun basic loadingnya lama banget baik lebih cepat,neutral
"sangat mengecewakan mau boking tidak bisa, notifnya sudah Ada boking, padahal belom pernah Dan gagal terussss, keweca",1,sangat kecewa mau boking bisa notifnya ada boking padahal bom pernah gagal terussss keweca,negative
"suka nyangkut kalo gagal pesen tiket, udah tiket sisa 4 karna war tiket eh gara gara nyangkut malah gabisa pesen",2,suka nyangkut kalo gagal sen tiket udah tiket sisa karna war tiket eh gara gara nyangkut malah gabisa sen,negative
🤙,5,,positive
"Pesan tiket kereta susah banget masa abis terus , padahal udah jauh dari hari keberangkatan",3,pesan tiket kereta susah banget masa abis terus padahal udah jauh hari berangkat,neutral
mudah & jelas,5,mudah jelas,positive
"aplikasi banyak bug, males",1,aplikasi banyak bug males,negative
"lemot, sering lag, bug, perbaikin lagi!",1,lot sering lag bug perbaikin,negative
"Sejak mulai update terbaru, sistem terasa berat dan lebih sering error. Orang membuat penilaian juga hanya formalitas, tidak ada tanggapan nyata.",2,sejak mulai update baru sistem asa berat lebih sering error orang buat nilai hanya formalitas ada tanggap nyata,negative
tlong lah kursi KA Serayu disamakan dengan KA Cikuray.. Kursi serayu 'lutut ketemu lutut' jarak terlalu mepet dan Ac selalu bocor di perjalanan ganti ac central . serayu 60.000 ; cikuray 40.000 tlong fasilitas disamakan.,2,tlong lah kursi ka rayu sama ka cikuray kursi rayu lutut ketemu lutut jarak terlalu mepet ac selalu bocor jalan ganti ac central rayu cikuray tlong fasilitas sama,negative
kenapaa ya apk ny pemeliharaan terus sampe tiket saya hangus,1,kenapaa apk ny pelihara terus sampe tiket hangus,negative
"aplikasi nya gangguan,gimana beli tiket nya 🤔",3,aplikasi nya gangguangimana beli tiket nya,neutral
"26 April 26 benar"" bikin emosi. mulai dr jm 00.01 pesan tiket (lokal) gabbisa bisa..nsampe jm 00.30 tiba tiba kuota sudh penuh tanpa kursi.. aplikasi milik negara Lo ini.. pantesan jalann membludak banyak kndaran pribadi bermunculan. lha pelayanan publik negaranya sak kyk gini. sampe JM 08.01 ini sja Aya Masi blom bisa beli tiket (lokal) astaga tuhan Indonesia ku",1,april benar bikin emosi mulai dr jm pesan tiket lokal gabbisa bisansampe jm tiba tiba kuota sudh penuh kursi aplikasi milik negara lo pantesan jalann membludak banyak kndaran pribadi muncul lha layan publik negara sak kyk gin sampe jm sja aya mas blom beli tiket lokal astaga tuhan indonesia ku,negative
"pemeliharaan ko di jam 7 pagi,gimana yg mau pesen tiket ini aneh",1,pelihara ko jam pagigimana yg mau sen tiket aneh,negative
beberapa kali pembayaran pakai qris selalu gagal padahal saldo sudah terpotong,1,beberapa kali bayar pakai qris selalu gagal padahal saldo potong,negative
"barusan beli kan, nah pembayaran berhasil tapi tiketnya malah GK ada atau error, makin aneh aja",1,barusan beli kan nah bayar hasil tiket malah gk atau error makin aneh aja,negative
"Retina kasih layananya KAi, visa refund cepat via KAi access, semoga kai makin maju",5,retina kasih layananya kai visa refund cepat via kai access moga kai makin maju,positive
aplikasi sampah,1,aplikasi sampah,negative
belum berhasil booking tapi ada notif sudah booking dan tidak bisa beli dengan rute yang sama,1,hasil booking ada notif booking tidak beli rute sama,negative
"kualitas jdi buruk bgt, pesen tiket cuma loading ga jelas akhirnya ga bisa pesen",1,kualitas jdi buruk bgt sen tiket cuma loading ga jelas akhir ga sen,negative
error mulu kerjaan lu,1,error mulu kerja lu,negative
"eror kok sering, bukan diperbaiki malah tambah parah",1,eror kok sering bukan baik malah tambah parah,negative
kenapa selalu eror waktu pemesanan tiket lokal sihhh🙁,1,selalu eror waktu mesan tiket lokal sihhh,negative
"buruk, tidak bisa daftar kodenya gak buruan di kirim👎👎",1,buruk bisa daftar kode gak buru kirim,negative
aplikasi opo iki gk jelas.. dilihat masih tersedia bnyk kursi bgtu boking gk bs.. erorr trussss. gmn negara bs maju aplikasi kyk ngene.intie aplikasi gk guna belas eror trusss,1,aplikasi opo iki gk jelas lihat sedia bnyk kursi bgtu boking gk bs erorr trussss gmn negara bs maju aplikasi kyk ngeneintie aplikasi gk belas eror trusss,negative
setelah update malah lemot,1,update malah lot,negative
"aplikasinya serinng gangguan 2 minggu terakhiri ini, pesan pukul 00.00 WIB langsung tanpa kursi, dan saat pengisian data penumpang dan dilanjutkan tidak bisa diminta batalkan pembelian. setelah selesai batal tetap tidak hilang dan susah pesan lagi. mohon diperbaiki sebelumnya sudah sangat baik padahal.",3,aplikasi serinng ganggu minggu akhir pesan pukul wib langsung kursi saat isi data tumpang lanjut bisa minta batal beli selesai batal tetap hilang susah pesan mohon baik belum sangat baik padahal,neutral
"makin buruk servernya, udah di belain begadang buat beli tiket udah lewat jam 00 malah error, ditunggu sampe jam 5 pagi masih gak bisa. sekalinya bisa sampe mau bayar barcode qrisnya gak muncul terus otomatis ke close masuk tiket saya gak ada opsi buat lanjutin pembayaran, terus gimana mau bayarnya. tolong diperbaiki servernya saya setiap minggu rutin pp luar kota naik kereta.",1,makin buruk servernya udah bain begadang buat beli tiket udah lewat jam malah error tunggu sampe jam pagi gak sekali sampe mau bayar barcode qrisnya gak muncul terus otomatis close masuk tiket gak opsi buat lanjutin bayar terus gimana mau bayar baik servernya tiap minggu rutin pp luar kota naik kereta,negative
"aplikasi nya bagus tapi sering lemot padahal sinyal bagus kadang suka error akhirnya saya tidak bisa memesan tiket lagi, saya punya screenshot nya",1,aplikasi nya bagus sering lot padahal sinyal bagus kadang suka error akhir tidak mes tiket saya punya screenshot nya,negative
bagus n rapih,5,bagus n rapih,positive
"aplikasi rusak, tiap kali mau pesan malah tertera tidak bisa booking diwaktu yang sama. padahal baru buka aplikasinya",1,aplikasi rusak tiap kali mau pesan malah tera bisa booking waktu sama padahal baru buka aplikasi,negative
"jelek bgttt, gampang eror, down, lemot, gajelassss",1,jelek bgttt gampang eror down lot gajelassss,negative
Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setip mau berangkat pagi sore MLM siang susah .. solnya GK ada keberatan pagi MLM sore siang? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA pandalungan KA Argo Anjasmoro KA Argo Merbabu KA Argo Muria KA Sindoro bisa di perpanjang sape Brebes Amin 🙏🙏💪💪💪🥺🥺🥳🥳,5,bagus banget jadi gk ngantri loket moga st brebes jawa tengah jadi st besar tambah kereta nya amin sol setip mau berangkat pagi sore mlm siang susah sol gk berat pagi mlm sore siang dong stasiun brebes tambah kereta ka majapahit sama ka brawijaya ka blambangan ekspres ka gumarang ka pandalungan ka argo anjasmoro ka argo merbabu ka argo muria ka sindoro di panjang sape brebes amin,positive
"lemottttt, menyusahkan mau booking tiket berjam² gagal teruss",1,lemottttt susah mau booking tiket jam gagal teruss,negative
Duhh makin kesini makin banyak buh sama errornya.. Kenapa sih susah banget padahal sering kepake ni kai,2,duhh makin kesini makin banyak buh sama errornya sih susah banget padahal sering kepake ni kai,negative
"mudah digunakan, pada awalnya tapi sudah hampir seminggu aplikasi ini tidak bisa dibuka di HP saya mohon penjelasan nya",5,mudah guna awal sudah hampir minggu aplikasi tidak buka hp mohon jelas nya,positive
aplikasi error terus mau bayar gak bisa,1,aplikasi error terus mau bayar gak,negative
"untuk proses pembayaran yang tiba tiba balik ke beranda/logout, terus tidak bisa melanjutkan pembayaran lagi tolong di perbaiki agar bisa melanjutkan pembayaran pak meskipun ke logout, masih dalam durasi",3,proses bayar tiba tiba balik berandalogout terus bisa lanjut bayar tolong baik bisa lanjut bayar pak meski logout dalam durasi,neutral
dpt susah tiket.sinyal full. aplikasi eror terus. bagain IT KAI perlu belajar app sebelah,1,dpt susah tiketsinyal full aplikasi eror terus bagain it kai perlu ajar app belah,negative
invalid server respon... time out.. cannot boking... SEDANG GANGGUAN LAH... aplikasi buruk.. buat pesan tiket.... bisa masuk tau tau sudah hbis semua.....,1,invalid server respon time out cannot boking sedang ganggu lah aplikasi buruk buat pesan tiket masuk tau tau hbis semua,negative
"server lemot, gk jelas bnget proses pemesanan tiba"" erorr trus mau pesan tiket lagi sudah kosonh",1,server lot gk jelas bnget proses mesan tiba erorr trus mau pesan tiket sudah kosonh,negative
"malah update, jadi ga kompatibel dengan hp saya",1,malah update jadi ga kompatibel hp,negative
"saldo hilang sendiri tanpa sebab. beberapa hari kemudian coba boking lagi, eh pas mau bayar nominal 0 dan coba boking lagi malah muncul error terus",1,saldo hilang sendiri sebab beberapa hari kemudian coba boking eh pas mau bayar nominal coba boking malah muncul error terus,negative
"bagus aplikasinya, hanya saja saya ketika pemesanan tiket udah tinggal payment ke back hal utama trus di cari ke menu payment lagi kode qris gak muncul, sampai waktu payment habis, harusnya kan udah otomatis tercancel tapi nyatanya saya gak bisa pesen lagi karena notifnya gak bisa pemesanan lagi dirute yang sama",4,bagus aplikasi saja ketika mesan tiket udah tinggal payment back utama trus cari menu payment kode qris gak muncul waktu payment habis harus kan udah otomatis tercancel nyata gak sen karena notifnya gak mesan rute sama,positive
"Min.. pelayanan kok makin lama ancur sistem ticketingnya. tiket bisa dipesan 6hr sblmnya tp sdh tungguin selalu stuck mau masuk jadwal tiket. setiap seminggu harus pesanin tiket istri malang surabaya dan srng banget tiba"" dah habis palagi bareng long week end. Ganti aja IT lu kalo gk sanggup atasin server stress kayak gitu, complain dah srng masih aja tetep masalahnya begitu trus",1,min layan kok makin lama ancur sistem ticketingnya tiket pes hr sblmnya tp sdh tungguin selalu stuck mau masuk jadwal tiket minggu pesanin tiket istri malang surabaya srng banget tiba dah habis palagi bareng long week end ganti aja it lu kalo gk sanggup atasin server stress kayak gitu complain dah srng aja tetep masalah trus,negative
lama aksesnya eror terus,3,lama akses eror terus,neutral
"aplikasi lemot, pembayaran via qris kode tidak muncul. bahkan setelah itu memesan rute yang sama tidak bisa. sistem mendeteksi kita telah memesan di rute tersebut. padahal tiket tidak muncul",1,aplikasi lot bayar via qris kode muncul bahkan itu mes rute sama bisa sistem deteksi telah mes rute sebut padahal tiket muncul,negative
Buka aplikasi dari jam 00.00 sampai dengan 02.06 baru bisa masuk dengan tiket keadaan habis. Adapun sisa tiket malam aplikasi no response. sulit banget,1,buka aplikasi jam baru masuk dengan tiket ada habis adapun sisa tiket malam aplikasi no response sulit banget,negative
"kenapa susah banget beli tiket , bukanya gampang malah jadi ribet dikit2 trouble giliran bisa di buka tiket habis , paling kesel klo beli tiket buat acara penting pasti gabisa kebeli , ribet!! buang2 waktu buat istiarahat alhasil ZONK!!",1,susah banget beli tiket buka gampang malah jadi ribet dikit trouble gilir di buka tiket habis paling kesel klo beli tiket buat acara penting gabisa kebel ribet buang waktu buat istiarahat alhasil zonk,negative
sistem sangat lambat dan sering trouble,1,sistem sangat lambat sering trouble,negative
Aplikasi sering error setiap ingin membeli tiket selalu tidak bisa ini adalah versi yg paling buruk karna sekarang susah membeli tiket di kai acces,1,aplikasi sering error ingin beli tiket selalu bisa adalah versi yg paling buruk karna sekarang susah beli tiket kai acces,negative
app mu lemottt kakean pembaruan. . . dan pembayran e bulettt,2,app mu lemottt kakean baru pembayran e bulettt,negative
harus di perbaiki mau pesen tiket ngeleg gak masuk akal tolong KAI,2,di baik mau sen tiket ngeleg gak masuk akal kai,negative
sering eror saat pembelian lokal di hari sbtu/minggu.,1,sering eror beli lokal hari sbtuminggu,negative
"JELEK PARAH!!!!!!! udah standby dari jam 00.00 mau war tiket tpi jadwalnya ga muncul"" smpe close apps berkali"" ttp ga muncul. Muncul sesekali tp error, ga bisa isi data penumpang. giliran tiketnya udah habis, baru muncul semua jadwalnya ga ada error"".",1,jelek parah udah standby jam mau war tiket tpi jadwal ga muncul smpe close apps kali ttp ga muncul muncul sekal tp error ga isi data tumpang gilir tiket udah habis baru muncul semua jadwal ga error,negative
aplikasi gak jelas banyak bug padahal udah nungguin sampai tengah malam malah eror pas di cek lagi tiket udah gak ada,1,aplikasi gak jelas banyak bug padahal udah nungguin tengah malam malah eror pas cek tiket udah gak,negative
jelek sering ngebug benerin lagi dong,1,jelek sering ngebug benerin dong,negative
"sistem selalu down , apk gk jelas. jangan mikirin untung trs tanpa memperhatikan kenyamanan nya.",1,sistem selalu down apk gk jelas jangan mikirin untung trs perhati nyaman nya,negative
"aplikasi sering eror.sering beli tiket lokal pas mau beli di jam 00.00 malam.selalu eror.setingkat perusahaan negara,aplikasinya seperti sampah.gak percaya silahkan coba dan buktikan.coba beli jalur Kertosono ke Surabaya,belinya di jam 00.00malam.atau Surabaya ke kertosono.di jam 00.00,kalau gak bikin emosi saja.halo ini udah tahun berapa,aplikasinya masih kayak jaman purba.lambat ,lelet.eror..buktikan kalau gak percaya",1,aplikasi sering erorsering beli tiket lokal pas mau beli jam malamselalu erorsetingkat usaha negaraaplikasinya sampahgak percaya silah coba buktikancoba beli jalur kertosono surabayabelinya jam malamatau surabaya kertosonodi jam kalau gak bikin emosi sajahalo udah tahun berapaaplikasinya kayak jaman purbalambat leleterorbuktikan kalau gak percaya,negative
