review,rating
pembayaran pake Qris dana. beli tiket gagal saldo kepotong . Cs kai dan cs commer di hubungi gak bisa . akhirnya lapor dana nunggu 18hr kerja,1
"server busuk, masa udah gue bayar tapi tiket nya gak muncul sama sekali, malah di kata error lah, mau dibatalin juga gabisa, tolong perbaiki secepatnya, soalnya sebagai pengguna kai sejati merasa dkrugikan",1
"DUIT DI AMBIL TIKET GAADA, LAPOR CS SUSAH, GIMANA NIH? MAU TANGGUNGJAWAB KEMANA?",1
"kenapa sudah bayar tapi tiket gak muncul? ini bagaimana ya? mana udah 2kali penipuan kah aplikasi ini.... udah 2kali dana gak balik, kenapa? tolong jelas kan? biar gak ada salah paham ini mana dana gak balik",1
saya udh melakukan pembayaran tetapi tiket tidak muncul dalam aplikasi gimana coba ceritanya tolong di perbaiki saya 2x pembayaran tidak muncul tiket,3
sistem sedang error mohon diperbaiki. gak bisa book kereta,4
"apk nya kurang baguss, pas mau payment gabisaa trs pas waktu mau booking ulang jg gabisaa",3
"apaan ini KAI awalnya ku kasih bintang 5 sekarang bintang satu mengecewakan, habis update barusan aku pesen tiket di sesi pembayaran tiba² eror keluar ke home sendiri tak cari tiket di menu tiket buat mastiin pembayaran ulang malah tiket nya ga ada, mau pesen ulang tikenya malah ada notif bahwa udah pesen/boking tiket di jam kereta itu hadeh mana lagi ada kerjaan buru² pula,udah ganti ganti identitas buat bisa kebeli tiket tetep sama tiba² eror, chat dan telfon layanan 121 juga ga ada respon",1
terdapat bug yang mengecewakan ketika saya pesan kursi di hari dan jam yg sebelumnya sudah saya booking namun saat pembayaran tidak muncul halaman pembayaran. ketika saya pesan ulang malah tidak bisa dikarenakan sudah booking di hari dan jam yg sama ini bagaimana? masa harus booking di jam berbeda? saya ada perlu sehingga pesan di jam tersebut. sangat mengecewakan,1
"GMNA SIH PEMBAYARAN PKE QRIS AJA GK BISA, PEMBAYARAN GAGAL GK ADA PENGEMBALIAN DANA, DUIT HANGUS GITU AJA. YG BENER DONG KAI KLO BIKIN APK",1
"habis maintenance malah gajelas semua, pesan tiket error terus, katanya sudah ada tiket dengan tujuan yang sama padal belum beli, sampe tiket habis baru bisa lagi",1
aplikasi bumn paling waras tapi sekarang udah tertular. sama-sama bloon,1
"nge bug mulu perasaan, sering banget bikin pusing.",2
"GAJELAS SERING ERROR, SERING TIMEOUT, SERING MUNCUL CANNOT BOOKING AT THE SAME TIME, PADAHAL CUMA LIHAT TOK",1
kenapa syaa tidak bisa download access kai ini ya apa sebabnya,1
aneh banget pembayaran udah berhasil saldo dah berkurang tapi di apk nya pembayaran gagal. dan gitu cs nya lama bgt tanggapannya ngantri mulu. kecewa banget padahal dah beberapa kali beli disini aman. buat kali ini kecewa,1
"udah payment tiket nya gak di kasih, masih aja harus pembayaran, coba di benerin dong.",3
"sewaktu saya mau buat akun basic, loadingnya lama banget. Tolong diperbaiki agar lebih cepat",3
"sangat mengecewakan mau boking tidak bisa, notifnya sudah Ada boking, padahal belom pernah Dan gagal terussss, keweca",1
"suka nyangkut kalo gagal pesen tiket, udah tiket sisa 4 karna war tiket eh gara gara nyangkut malah gabisa pesen",2
🤙,5
"Pesan tiket kereta susah banget masa abis terus , padahal udah jauh dari hari keberangkatan",3
mudah & jelas,5
"aplikasi banyak bug, males",1
"lemot, sering lag, bug, perbaikin lagi!",1
"Sejak mulai update terbaru, sistem terasa berat dan lebih sering error. Orang membuat penilaian juga hanya formalitas, tidak ada tanggapan nyata.",2
tlong lah kursi KA Serayu disamakan dengan KA Cikuray.. Kursi serayu 'lutut ketemu lutut' jarak terlalu mepet dan Ac selalu bocor di perjalanan ganti ac central . serayu 60.000 ; cikuray 40.000 tlong fasilitas disamakan.,2
kenapaa ya apk ny pemeliharaan terus sampe tiket saya hangus,1
"aplikasi nya gangguan,gimana beli tiket nya 🤔",3
"26 April 26 benar"" bikin emosi. mulai dr jm 00.01 pesan tiket (lokal) gabbisa bisa..nsampe jm 00.30 tiba tiba kuota sudh penuh tanpa kursi.. aplikasi milik negara Lo ini.. pantesan jalann membludak banyak kndaran pribadi bermunculan. lha pelayanan publik negaranya sak kyk gini. sampe JM 08.01 ini sja Aya Masi blom bisa beli tiket (lokal) astaga tuhan Indonesia ku",1
"pemeliharaan ko di jam 7 pagi,gimana yg mau pesen tiket ini aneh",1
beberapa kali pembayaran pakai qris selalu gagal padahal saldo sudah terpotong,1
"barusan beli kan, nah pembayaran berhasil tapi tiketnya malah GK ada atau error, makin aneh aja",1
"Retina kasih layananya KAi, visa refund cepat via KAi access, semoga kai makin maju",5
aplikasi sampah,1
belum berhasil booking tapi ada notif sudah booking dan tidak bisa beli dengan rute yang sama,1
"kualitas jdi buruk bgt, pesen tiket cuma loading ga jelas akhirnya ga bisa pesen",1
error mulu kerjaan lu,1
"eror kok sering, bukan diperbaiki malah tambah parah",1
kenapa selalu eror waktu pemesanan tiket lokal sihhh🙁,1
"buruk, tidak bisa daftar kodenya gak buruan di kirim👎👎",1
aplikasi opo iki gk jelas.. dilihat masih tersedia bnyk kursi bgtu boking gk bs.. erorr trussss. gmn negara bs maju aplikasi kyk ngene.intie aplikasi gk guna belas eror trusss,1
setelah update malah lemot,1
"aplikasinya serinng gangguan 2 minggu terakhiri ini, pesan pukul 00.00 WIB langsung tanpa kursi, dan saat pengisian data penumpang dan dilanjutkan tidak bisa diminta batalkan pembelian. setelah selesai batal tetap tidak hilang dan susah pesan lagi. mohon diperbaiki sebelumnya sudah sangat baik padahal.",3
"makin buruk servernya, udah di belain begadang buat beli tiket udah lewat jam 00 malah error, ditunggu sampe jam 5 pagi masih gak bisa. sekalinya bisa sampe mau bayar barcode qrisnya gak muncul terus otomatis ke close masuk tiket saya gak ada opsi buat lanjutin pembayaran, terus gimana mau bayarnya. tolong diperbaiki servernya saya setiap minggu rutin pp luar kota naik kereta.",1
"aplikasi nya bagus tapi sering lemot padahal sinyal bagus kadang suka error akhirnya saya tidak bisa memesan tiket lagi, saya punya screenshot nya",1
bagus n rapih,5
"aplikasi rusak, tiap kali mau pesan malah tertera tidak bisa booking diwaktu yang sama. padahal baru buka aplikasinya",1
"jelek bgttt, gampang eror, down, lemot, gajelassss",1
Bagus banget jadi GK ngantri di loket semoga st Brebes Jawa Tengah menjadi st besar tambah kereta nya amin🙏 solnya setip mau berangkat pagi sore MLM siang susah .. solnya GK ada keberatan pagi MLM sore siang? Tolong dong stasiun Brebes tambah kereta lagi KA Majapahit sama ka Brawijaya kA Blambangan ekspres kA Gumarang KA pandalungan KA Argo Anjasmoro KA Argo Merbabu KA Argo Muria KA Sindoro bisa di perpanjang sape Brebes Amin 🙏🙏💪💪💪🥺🥺🥳🥳,5
"lemottttt, menyusahkan mau booking tiket berjam² gagal teruss",1
Duhh makin kesini makin banyak buh sama errornya.. Kenapa sih susah banget padahal sering kepake ni kai,2
"mudah digunakan, pada awalnya tapi sudah hampir seminggu aplikasi ini tidak bisa dibuka di HP saya mohon penjelasan nya",5
aplikasi error terus mau bayar gak bisa,1
"untuk proses pembayaran yang tiba tiba balik ke beranda/logout, terus tidak bisa melanjutkan pembayaran lagi tolong di perbaiki agar bisa melanjutkan pembayaran pak meskipun ke logout, masih dalam durasi",3
dpt susah tiket.sinyal full. aplikasi eror terus. bagain IT KAI perlu belajar app sebelah,1
invalid server respon... time out.. cannot boking... SEDANG GANGGUAN LAH... aplikasi buruk.. buat pesan tiket.... bisa masuk tau tau sudah hbis semua.....,1
"server lemot, gk jelas bnget proses pemesanan tiba"" erorr trus mau pesan tiket lagi sudah kosonh",1
"malah update, jadi ga kompatibel dengan hp saya",1
"saldo hilang sendiri tanpa sebab. beberapa hari kemudian coba boking lagi, eh pas mau bayar nominal 0 dan coba boking lagi malah muncul error terus",1
"bagus aplikasinya, hanya saja saya ketika pemesanan tiket udah tinggal payment ke back hal utama trus di cari ke menu payment lagi kode qris gak muncul, sampai waktu payment habis, harusnya kan udah otomatis tercancel tapi nyatanya saya gak bisa pesen lagi karena notifnya gak bisa pemesanan lagi dirute yang sama",4
"Min.. pelayanan kok makin lama ancur sistem ticketingnya. tiket bisa dipesan 6hr sblmnya tp sdh tungguin selalu stuck mau masuk jadwal tiket. setiap seminggu harus pesanin tiket istri malang surabaya dan srng banget tiba"" dah habis palagi bareng long week end. Ganti aja IT lu kalo gk sanggup atasin server stress kayak gitu, complain dah srng masih aja tetep masalahnya begitu trus",1
lama aksesnya eror terus,3
"aplikasi lemot, pembayaran via qris kode tidak muncul. bahkan setelah itu memesan rute yang sama tidak bisa. sistem mendeteksi kita telah memesan di rute tersebut. padahal tiket tidak muncul",1
Buka aplikasi dari jam 00.00 sampai dengan 02.06 baru bisa masuk dengan tiket keadaan habis. Adapun sisa tiket malam aplikasi no response. sulit banget,1
"kenapa susah banget beli tiket , bukanya gampang malah jadi ribet dikit2 trouble giliran bisa di buka tiket habis , paling kesel klo beli tiket buat acara penting pasti gabisa kebeli , ribet!! buang2 waktu buat istiarahat alhasil ZONK!!",1
sistem sangat lambat dan sering trouble,1
Aplikasi sering error setiap ingin membeli tiket selalu tidak bisa ini adalah versi yg paling buruk karna sekarang susah membeli tiket di kai acces,1
app mu lemottt kakean pembaruan. . . dan pembayran e bulettt,2
harus di perbaiki mau pesen tiket ngeleg gak masuk akal tolong KAI,2
sering eror saat pembelian lokal di hari sbtu/minggu.,1
"JELEK PARAH!!!!!!! udah standby dari jam 00.00 mau war tiket tpi jadwalnya ga muncul"" smpe close apps berkali"" ttp ga muncul. Muncul sesekali tp error, ga bisa isi data penumpang. giliran tiketnya udah habis, baru muncul semua jadwalnya ga ada error"".",1
aplikasi gak jelas banyak bug padahal udah nungguin sampai tengah malam malah eror pas di cek lagi tiket udah gak ada,1
jelek sering ngebug benerin lagi dong,1
"sistem selalu down , apk gk jelas. jangan mikirin untung trs tanpa memperhatikan kenyamanan nya.",1
"aplikasi sering eror.sering beli tiket lokal pas mau beli di jam 00.00 malam.selalu eror.setingkat perusahaan negara,aplikasinya seperti sampah.gak percaya silahkan coba dan buktikan.coba beli jalur Kertosono ke Surabaya,belinya di jam 00.00malam.atau Surabaya ke kertosono.di jam 00.00,kalau gak bikin emosi saja.halo ini udah tahun berapa,aplikasinya masih kayak jaman purba.lambat ,lelet.eror..buktikan kalau gak percaya",1
"GAJELAS DOWN MULU SERVERNYA, GA BECUS BENERIN SERVER GAUSAH BIKIN APK. ORANG UDH BEGADANG BUAT BELI TIKET MALAH DOWN MULU SERVERNYA, BENERIN TUH MASALAH DOWN SERVER DARI DULU GAADA IMROVISASI SAMA SEKALI.",1
sangat buruk,1
"aplikasi sebelumnya sudah bagus bgt, setelah update jadi sering error untuk ekonomi saat war jam 12 malem itu selalu aja aplikasi sedang dalam perbaikan ayoklah kai perbaiki lagi sistemnya tolong",1
sering error,1
aplikasi menyusahkan sangat lemot dan tidak ramah,1
"gak jelas dikit2 ngeleg , mau war tiket jam 00.00 ngeleg , pdhl jaringan stabil , muter2 terus , maintenance setiap hari buat apa kalau selalu ngeleg kaya gini? gaguna bet",2
"ada pemeliharaan pas di jam orang"" pada war tiket h+6, jdnya server lemot parah, gabisa dipencet apa"". sekalinya bisa dipencet lanjut pembayaran eh ga bisa diapa apain juga cuma bisa nunggu waktu abis, pas ngecek lagi tiket nya udah pada abis. ada fitur email harusnya pemesanan yang harus dilakuin pembayaran di kasih notifikasi ke email, kalo pake qris ya qris nya di kirim di email. paling ngeselin ya itu, pemeliharaan jam jam 00.20.",1
"sering eror, aneh bngt tiba² habis trs 2 jam kemudian ada lagi",1
sistem parah 1 jam yg sia sia,1
"dibelain begadang buat war tiket tp waktu jam 12 malem apk error stuck di isi penumpang, di refresh² gabisa sampe jam set1 malem tiba² jadwal yg mau dibeli udah abis, bener² kudu diperbaiki lagi sistemnya kai plisss biar ga buang² waktu istirahat di tengah malem kaya ginii",1
lemot parah kalo chekin lokal,1
"apk sampah,dibenerin dulu blok pesen susahnya minta ampun,sistem eror kalo apk banyak yang pake sampah banget wk",1
"aplikasi minus banyak bug pesen tiket h-6 malah eror najiss,udah di belain begadang war tiket malah gini kecewa",1
"tambah bikin ribet masa iya pesan tiket jam 00.00 yang harusnya udah keluar tiketnya tambah ini aplikasi lemot banget ga keluar"" jadwal pemberangkatannya nanti kalo udah jam 1.00 tiket udah habis semua,, tolong ya ini sistemnya di perbaiki lagi biar masyarakat ga kecewa sama sistem pesan online lewat kai acces",1
"susah bgt buat pesan saat jam tengah malam, loading nya lama bisa sampai set jam, pesan ataupun membatalkan pesanan tiket sama load nya lama",2
SUKA ERROR SENDIRI,1
buruk,1
"ya begitulah aplikasi pemerintah gk ada yang pokro gak jelas, lebih baik d hapus semakin tahun gk semakin bagus semakin jelek",1
aplikasi eror gampang lemot,1
"Tolong server nya ditambahin lagi ya KAI. di jam"" kritis misal barengan tiket mudik, saya beli tiket lokal tapi aplikasi nya error terus. isinya cuma muter"" di aplikasi nya dan muncul kode error tolong ditambahi lagi kekuatan server nya biar bisa di akses se jawa.",1
busuk banget server tiket KA Lokal pas war tiket jam 12 malem anj,1
"Aplikasi tidak jelas, perlu maintenance lagi.. udah milih kursi mau pembayaran ga bisa.. setiap pemesanan pasti error..",1
ERROR TERUS TIAP MAU PESEN TIKET ASTAGAAAA,1
"Tertulis tersedia, pas diklik gabisa. milih tanggal udah bener, pas masuk gak ada tiketnya alias blank. Nambah saldo kepotong administrasi, ada aja cacatnya. diupdate ga tambah mutakhir malah makin buruk.",2
"Mohon server lebih dioptimalkan lagi,agar tidak terjadi error saat pemesanan tiket KA lokal di tengah malam.",2
"makin kesini sistem aplikasi malah makin buruk, suka ngeblank juga",1
lemot,1
"aplikasi gampang eror, war tiket lokal susah banget",1
suka lag kalau di buat war tiket,1
ok banget,5
"udah login terus, ganti password udah tanya adminnya gagal login terus, masalahnya apa? jawaban dari admin juga nggak guna .. aplikasi dah bagus malah error !",1
sering error,1
"aplikasinya aneh, pas udah batal booking, trus pesan tiket ulang malah ada notif sudah booking. padahal udah batal dan ngga ada riwayat ada tiket yang belum dipesan. tolong di perbaharui fiturnya biar ngga lelet",1
"jelek, masih sering ngebug",3
aplikasi rusak error mulu,1
sangat membantu,5
"merasa dirugikan aja udah pendaftaran sampai pembayaran tp tiket ilang GK masuk . udh konfirmasi,tp sama uang GK kembali tiket ilang buat 6 orang pulang-pergi. jujur apk tersampah 👎👎👎",1
baik,5
otp nya loding nya lama,3
aplikasi tolol ngebug trus,1
upgrade ke basic masukin otp loading mulu,1
maintenance terus,1
padahal pakai android 13 tidak kompatibel 👎,1
"sayang banget ga bisa beli tiket hari itu juga 😥. Aplikasinya perlu perbaikan, banyak bugnya",1
susah untuk daftar baru,1
"tiket jember surabaya 24 april 2026 saya cek jam 3.45 sampai 4.25 gk muncul2 di aplikasinya, error kah?? duh kai tolong lah lebih cepat lg dlm penanganan IT nya krn potensi kehilangan omset",1
"Aplikasi ini kurang maksimal meskipun harga selisih lebih mahal dibanding beli langsung di stasiun. sehari sebelum keberangkatan tidak ditampilkan, padahal di situs komersil lain ada. biaya aplikasi & implementasi tidak sesuai",2
nice,5
"banyak bug nya, pemesanan tiket banyak erornya",1
"baik pelayanan dan ada fasilitas musholla juga tempat wudhu kaki, agar dijaga dan lebih ditingkatkan lagi pelayanannya..",4
oke,5
"keseringan gangguan, tidak berkualitas",1
Sangat berkesan menggunakan aplikasi ini,5
lancar dari Jakarta ke Bali aman dan nyaman,4
Tolong tambahankan pemesanan Porter di pemesanan tiket. kadang kita pesan tiket itu untuk orang tua. jadi bisa sekalian pesan porter untuk bawa barangnya. biar tidak cari² porter lagi. terimakasih,5
aplikasi nya mudah digunakan,5
tidak bisa upgrade member basic susah sekali tidak bisa parah gimana kai access,1
mantap,5
"mahal, gak ada subsidi dari cikampek karawang lawak. ditinggal kalah sama pesawat, bis dll",1
dapat dimengerti,3
android 10 tidak kompatibel :(,5
"mohon maaf saya lagi promil,saya kebetulan tidak dapet tiket dikereta lokal saya numpang ditempat duduk untuk lansia / untuk yg sedang hamil,dan sakit kenapa saya disuruh untuk pindah trs ya ,semoga ada kemajuan untuk kereta lokal ,dan saya baru pertama kali ini diperlakukan seperti ini,untuk kereta lokal commuter line penataran jombang ke surabaya",1
"gk bisa verifikasi otp pdhl udh bnr, dicoba selama 3 hari pun sama aja hasilnya.",1
membantu,5
"begadang jam 12 bela belain beli tiket aplikasi blank ga bisa beli tiket sampe jam 2, bangun bangun tiket sudah habis h-7",1
"penampilan aplikasi sudah lebih baik, namun untuk pengecekan tiket hanya bisa 3 kali dan lebih dari itu tidak tampil sama sekali tiket yang dicari walaupun tgl masih available. masih lebih baik aplikasi yang lamanya.",1
"aplikasi sampah, susah banget",1
"kadang jadwal yang dicari ga muncul dan lama banget. padahal tiket rute ini apalagi weekend selalu ramai. tolong diperbaiki. sudah 15 menit dicoba tetap ga keluar jadwalnya, terimakasih.",1
"tiap cek jadwal kereta lokal jam 00.00 pasti blank, nanti di cek jam 00.30 sudah banyak yg habis",1
"Sangat bagus, berkembang lebih baik ya",5
"aplikasi sering tidak dapat digunakan, sangat sering maintenance",1
bagus sangat bermanfaat👍👍,5
oke,5
add support android 14 dong,1
mantaappp,5
"lelet aplikasinya, kok tiketnya habis terus kalau mau pesan... tolong diperbaiki.....",3
daftar ke akun basic gk bisa anjiirrrr,2
bikin aplikasi bukan a makin mudah malah bikin dongkol data bener gak bisa masuk udh di coba 20x tetep aja gak bisa isi data,1
"kenapa sih hrs di buat aplikasi,gw jadi ketinggalan kereta sama belinya harus awal ga bisa di akhir niat ga sih bikin aplikasi",1
"Tolong untuk asuransi pembatalan tiketnya(qo**a) di tinjau kembali.. Bekerja samalah dengan asuransi yang amanah.. bukan yg ribet, sdh berbulan bulan klaim kita gak beres².. setiap di chat hanya di suruh menunggu. Heran koq bisa PT KAI bekerja sama dgn asuransi abal²..",2
siiippppp👍👍👍👍👍👍,5
KRL Tanah Abang ke Bekasi kok gak nyala sih ini AC nya,1
"Gimana si bkin akun basic gagal mulu, udh nyoba pke email dan nomer apapun gagal mulu dah .. payah bngt",1
kurang bagus,1
"klo uda ada kursi prioritas, ya jangan nyuruh orang yg duduk di tempat biasa berdiri dong, suru lah itu yg nempatin kursi prioritas berdiri (klo orang biasa). kenapa malah nyuruh orang di tempat biasa berdiri, trus fungsi kursi prio buuat apaan ???",1
Tidak bisa Ganti Data Penumpang.,1
"aplikasinya jeleg min masa udah disempatin bangun jm 12 MALAM tapi waktu mau milih no seat mulu dan LOADINGNYA LAMA kan ga make sense min, sering eror di pembayaran juga. Ngga cuma sekali dua kali min udah jadi penyakit tahunan nih kai kl menjelang libur pasti gini, kecewa si aku jadi tidak bisa pulang, tidak bertemu mamaku dirumah",1
"sistem sering error, lebih diperbaiki lagi kedepannya",1
ini lama² ga jls ya. masa berkali² pesen tiket ga bisa pdahal tiket masih ada,1
"apa si mesti error ga jelas,, tulisan masih tersedia tapi pas di pencet no seat available",1
gak bagus,1
"enak buat healing naik kereta api jadi GK ush ribet"" ngantri",5
kenapa setiap top up saldo berkurang ?,3
menambah pengalaman baru,5
handphone apa y yg bisa support?? apa harus keluaran terbaru..masa iya hp keluaran 2023 sudah tdk support dg kai acces..,2
mohon jam keberangkatan dan tiba di sesuaikan min,2
aplikasi access by KAI suka eror n tolong d perbaiki sistemnya n kualitas sistemnya,1
tolong untuk pembatalan tiket saya kok tidak ada menunya ya?,2
"kebanyakan eror ni apk, benerin dulu deh sistem apk nyaa",1
masih sering terjadi bug di pemesanan kereta antar kota,3
bagus,5
better,4
bagus .....,5
"kenapa malah jadi sering gak bisa di buka ya, hadeuuuhhhhh😴",1
aplikasi busuk,1
baik,5
udh topup kartu multi trip. saldo KALpay terpotong tapi saldo kartunya tidak masuk.,1
"informasi seat yang tersedia berubah-ubah setiap detiknya untuk kereta lokal, dan tidak bisa membatalkan secara online, dan juga tidak bisa memesan tiket lain lagi dengan 1 identitas yg sama",1
SARAN SAYA PERBAIKI LAGI!,3
"selalu in time, petugasnya ramah",5
kenapa ribet amat buat daftar aplikasi ini,1
Habis update aplikasi jalan ke serkothabis lagi terpaksa ke Rangkas ojek disamai harga tiket kai 100rebu pulang laper,5
tidak bisa di buka,1
kebanyakan disuruh update mulu tiap buka😑,2
"Versi sebelumnya sudah bagus, setelah diupdate malah engga bisa login. Disarankan sm cs bwt hapus cache & data sm aja, disarankan login pake perangkat lain akhirnya bisa masuk. Dicoba login kembali diperangkat awal, sampai skg tetap tidak bisa.",1
mengapa access by KAI skg cari kereta dari stasiun gubeng ke stasiun jogyakarta koq tidak bisa aplikasi saya???? apa ada perubahan????,5
baik,4
baik,5
oke oke oke oke pisan,5
ok,2
sangat membantu dan mempermudah dalam perjalanan,4
ok,5
apknya ga akurat sering bug ga muncul jadwal keberangkatan keretanya😡😡😡,1
mantbbb,5
lebih ditingkatkan lg dgn cepat,5
mantap,5
di kode otp suka eror benerin dulu,1
😊,5
Kai plis.. Saat pengiriman kode otp kenapa bisa 2 jam lebih bahka itu juga masih muter-muter. tolong di perbaiki apa server bermasalah? lag?..🙃,3
suruh update malah HP tidak kompatibel trs ini aplikasi cocoknya di hp apa bos apa hp yg mahal² aja yg bisa mengakses yg bisa booking tiket orang yg punya hp murah ga bisa akses 😡😡😡😡😡,1
aplikasi sampah kalau bayar minta cepet pas refund seminggu masih di potong pula,1
pelayanan yang luar biasa,5
tepat waktu dan nyaman,5
Bagus,5
good,5
"Tiket close 10 meniit sebelum pemberangkatan. Beli di loket langsung ga dilayani. Kalau mememang mau full sistem online ga usah di close lah. Batalin pesanan di KA Lokal juga ga bisa, Ribet.",1
aplikasi suka bug,1
oke mantap,5
"makin sampah aja ni aplikasi, bintang bagus cuman tembakan wkwkwk",1
PT KAI semakin maju,5
aplikasi terpercaya dan paling recommended buat perjalanan menggunakan kereta api,5
"kembalikan ke lebih awal aja, bagus pas awalan",1
KLO dari aplikasi KAI nya oke bgt sih mempermudah pemesanan.cuma partner asuransi dr MNC ny itu prosesnya lama bgt hampir 1 bulan ajukan klaim 4 klaim yg di ajukan baru dua yg sudah di trnsfer..,4
belum pernah naik kereta ini baru mau mencoba nggeh,5
keluar terus,1
luar biasa.,5
proses agak lambat,4
Alhamdulillah,5
banyakin promo min,4
sangat membantu,5
sangat membantu,5
